departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5,DABEIBA,5234,Rural,Vereda Alto El Toro,2007,5,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.115,-76.264,Sin informacion,"(7.115, -76.264)",Fuerza pública
ANTIOQUIA,5,DABEIBA,5234,Rural,Vereda Alto El Toro,2007,5,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.115,-76.264,Sin informacion,"(7.115, -76.264)",Fuerza pública
ANTIOQUIA,5,DABEIBA,5234,Rural,Vereda Alto El Toro,2007,5,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.115,-76.264,Sin informacion,"(7.115, -76.264)",Fuerza pública
ANTIOQUIA,5,SONSÓN,5756,Rural,Sin información,2001,6,Mayor de 18 años,no,Civil,Hombre,Herido,5.709167,-75.310278,Sin informacion,"(5.709167, -75.310278)",Sin Información
ANTIOQUIA,5,ARGELIA,5055,Rural,Vereda La Margarita,2005,5,Menor de 18 años,no,Civil,Hombre,Herido,5.731577,-75.1416,Sin informacion,"(5.731577, -75.1416)",Sin Información
ANTIOQUIA,5,COCORNÁ,5197,Rural,Vereda San Juan,2002,10,Menor de 18 años,no,Civil,Hombre,Herido,6.058001,-75.185085,Sin informacion,"(6.058001, -75.185085)",Sin Información
ANTIOQUIA,5,COCORNÁ,5197,Urbana,Paraje Guayabal,2001,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.058001,-75.185085,Sin informacion,"(6.058001, -75.185085)",Sin Información
ANTIOQUIA,5,GRANADA,5313,Rural,Sin información,2005,7,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.130556,-75.091667,Sin informacion,"(6.130556, -75.091667)",Fuerza pública
ANTIOQUIA,5,SONSÓN,5756,Rural,Sector Perrillo,2004,12,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,5.709167,-75.310278,Sin informacion,"(5.709167, -75.310278)",Fuerza pública
ANTIOQUIA,5,SONSÓN,5756,Rural,Sector Perrillo,2004,12,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,5.709167,-75.310278,Sin informacion,"(5.709167, -75.310278)",Fuerza pública
